"year","authors","title","scope","methods","similarity","source_url"
"2005","P. Norouzzadeh; G.R. Jafari","Application of Multifractal Measures to Tehran Price Index","TEPIX","R/S; Lo modified R/S; DFA; generalized Hurst","High for Hurst; low for gold/ML","https://doi.org/10.1016/j.physa.2005.02.046"
"2007","Ali Moeini; Mehdi Ahrari; Saeed Sadat Madarshahi","Investigating Chaos in Tehran Stock Exchange Index","TEPIX","Hurst; correlation dimension; Lyapunov exponent","Medium for Hurst/regime; low for ML gold","https://ideas.repec.org/a/eut/journl/v12y2007i1p103.html"
"2011","Abbas Mamarnejad; Vahid Farmanara","Anticipation of Iran Mercantile Exchange gold coin price using Artificial Neural Network Approach with GMDH Algorithm","Iran gold coin futures","GMDH neural network; macroeconomic variables","High for gold + nonlinear model; low for Hurst/gating","https://sciexplore.ir/Documents/Details/988-716-026-122?Title=Anticipation+of+Iran+Mercantile+Exchange+%28IME%29+gold+coin+price+using+Artificial+Neural+Network+Approach+with+GMDH+Algorithm"
"2012","Seyed Yahya Abtahi; Hamed Nikfetrat","Identifying Regime Switching of Stock Market Returns in Iran","Tehran stock market","Markov regime switching","High for regime; low for gold/ML gate","https://sciexplore.ir/Documents/Details/027-895-656-900?Title=Identifying+Regime+Switching+of+Stock+Market+Returns+in+Iran"
"2012","Minoo Nazifi; Shahram Fatahi","Regime Switching GARCH Models and GARCH Models, in Stock Market of the Developing Countries","Tehran stock market","GARCH; Markov-switching GARCH; out-of-sample","High for regime/volatility; low for Hurst/gold","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1987428"
"2013","Arash Apornak; Reza Ghodsi","Forecasting time series using artificial neural networks in the gold price","gold price","ANN time-series forecasting","Medium for gold + ML","https://www.researchgate.net/publication/299863866_pysh_byny_sryhay_zmany_ba_astfadh_az_shbkh_sby_msnwy_dr_tyyn_qymt_tla_Forecasting_time_series_using_artificial_neural_networks_in_the_gold_price"
"2014","Leila Sarfaraz; Amir Afsar","A study on the factors affecting gold price and a neuro-fuzzy model of forecast","global gold","Takagi-Sugeno neuro-fuzzy; regression comparison","High for gold + nonlinear ML","https://mpra.ub.uni-muenchen.de/2855/"
"2014","Marzieh Naji Zawareh","Comparative study of neuro-fuzzy genetic self-organizing hybrid and linear model for gold coin futures","Iran gold coin futures","SOM clustering; genetic fuzzy system; ANN","High for hybrid/regime-like modeling","https://www.virascience.com/thesis/577131/"
"2021","Iranian-affiliated authors","Fractal analysis and the relationship between efficiency of capital market indices and COVID-19 in Iran","Iran capital market","modified Hurst exponent; fractal analysis","High for Hurst/efficiency; low for gold/ML","https://doi.org/10.1016/j.rinp.2021.104262"
"2024","Amirhossein Amini; Robab Kalantari","Gold price prediction by a CNN-Bi-LSTM model along with automatic parameter tuning","global gold","CNN; LSTM; Bi-LSTM; tuning","High for gold + temporal ML","https://doi.org/10.1371/journal.pone.0298426"
"2024","Saeed Kianpoor; Shahram Fattahi; Mohsen Hajian","Gold Price Forecasting: A Novel Approach Based on Text Mining and Big-Data-Driven Model","gold price","news text mining; Google Trends; CNN","High for gold + ML; low for Hurst/gating","https://doi.org/10.2478/sbe-2024-0049"
"2024","Arash Tashakkori; Fatemeh Salboukh; Hossein Talebzadeh et al.","Forecasting Gold Prices with MLP Neural Networks: A Machine Learning Approach","gold price","MLP; economic indicators","Medium-High for gold + ML","https://doi.org/10.7753/IJSEA1308.1003"
"2024","Mahdieh Tavassoli; Mahnaz Rabiei Nikoo; Kiamars Fathi","Modeling the Forecast of Gold Price Fluctuations over Short-Term, Medium-Term and Long-Term Periods","gold price fluctuations","BMA; PCA; TVP","Medium for multi-horizon gold; low for Hurst/ML gate","https://oiccpress.com/amc/article/view/8407"
"2025","Muhammad Abdolalizadeh","Forecasting Gold Prices in Iran Using Machine Learning and Network Models: Assessing the Impact of Macroeconomic Factors","Iran gold market","SARIMAX; SVM; LSTM; macro variables","High for daily gold ML; low for Hurst/gating","https://isnac.ir/AAHA-AAHDKF"
"2020","Mojtaba Nabipour; Pooyan Nayyeri; Hamed Jabani; Amir Mosavi","Deep Learning for Stock Market Prediction","Iranian stock groups","DT; RF; boosting; ANN; RNN; LSTM","High for Iranian financial ML; not gold/Hurst","https://arxiv.org/abs/2004.01497"
