"year","authors_or_project","title","scope","methods","similarity_to_hge","source_url"
"2024","Mo Yang; Ruotong Wang; Zixun Zeng; Peizhi Li","Improved prediction of global gold prices: An innovative Hurst-reconfiguration-based machine learning approach","global gold markets","Hurst reconfiguration; multifractal analysis; decomposition/ensemble; optimization","Very high for gold + Hurst; different architecture and validation","https://doi.org/10.1016/j.resourpol.2023.104430"
"2025","Mohammad Fikri","The Impact of Market Volatility Regimes on Gold Price Prediction Accuracy: A VIX-Based Machine Learning Approach","gold futures; 2014-2025","VIX regimes; DXY; S&P 500; Granger; ARIMA/LSTM/GRU; walk-forward; 1/7-day","High for regime + multi-horizon + walk-forward; no Hurst gate","https://jurnal.uindatokarama.ac.id/index.php/djit/article/view/4555"
"2025","Asifa Iqbal; Marwa M. Eid","Multi-Horizon Gold Price Forecasting and Its Implications for Financial Markets","XAU/USD","deep learning; metaheuristic optimization; multi-horizon","High for multi-horizon gold; different targets and models","https://doi.org/10.54216/JSDGT.050204"
"2025","Mohamed Oubraime; Rida El Abassi; Abderrahim Sabour","Regime Adaptive Forecasting for Economic Time Series: A Dynamic Model Selection Approach","economic series including daily gold","dynamic segmentation; LSTM; CNN-LSTM; XGBoost; SVR; regime-dependent selection","High for dynamic expert selection; no Hurst or binary direction","https://ouci.dntb.gov.ua/en/works/lmjBPZO9/"
"2026","S. authors","Forecasting the Price of Gold with Integrated Media Sentiment—A Prediction Framework Based on Online News Sentiment Mining with CNN-QRLSTM","gold price","news sentiment; EEMD; Hurst index; CNN-QRLSTM","High for gold + Hurst; no learned classical gate","https://www.mdpi.com/1099-4300/28/3/271"
"2026","Hybrid Recurrent Expert Gating authors","Hybrid Recurrent Expert Gating: An Adaptive Mixture of Experts Framework for Financial Time Series Prediction","Google stock","RNN; LSTM; GRU; softmax gating","High for learned gating; no gold or Hurst","https://doi.org/10.1016/j.procs.2026.06.366"
"2026","GoldSSM authors","Transformer Models vs SSMs for Financial Time Series","intraday gold","variable selection; Mamba; multi-scale streams; regime context; stream gating","High for gold + direction + gating; different deep architecture","https://rahulsp.com/papers/goldssm"
"2021","Precious-metal returns authors","Modeling Precious Metal Returns through Fractional Jump-Diffusion Processes Combined with Markov Regime-Switching Stochastic Volatility","precious metals","fractional processes; Markov regime switching; Hurst; Jump-GARCH","High for Hurst + regime; not ML gate","https://www.mdpi.com/2227-7390/9/4/407"
"2018","Marcos Lopez de Prado","Advances in Financial Machine Learning","financial ML","purging; embargo; CPCV; PBO; DSR","High for validation protocol; not gold-specific","https://agorism.dev/book/finance/ml/Marcos_Lopez_de_Prado_-_Advances_in_Financial_Machine_Learning-Wiley_%282018%29.pdf"
"2026","eslazarev","purged-cross-validation","time series and finance","purge; embargo; walk-forward; CPCV; PSR/DSR","High for validation implementation; not gold-specific","https://github.com/eslazarev/purged-cross-validation"
"2026","HGE local project","HGE Gold Forecasting Thesis V2","XAUUSD","causal OHLCV features; rolling Hurst regimes; classical candidates; learned gate; purged WFV; locked test","Exact project family","https://github.com/leonardo0231/hurst-gated-gold-forecasting"
