"year","authors","title","asset_or_scope","methods","reported_result_or_contribution","similarity_to_project","source_url"
"1988","Halbert White","Economic prediction using neural networks: the case of IBM daily stock returns","IBM stock","neural network","Early direct NN application to daily stock returns; highlights nonlinear economic prediction","Low","https://dblp.org/rec/conf/icnn/White88.html"
"1996","Paolo Tenti","Forecasting foreign exchange rates using recurrent neural networks","DM exchange rate","recurrent neural networks; trading strategy","Compares recurrent architectures and reports transaction-cost-aware trading results","Low-Medium","https://doi.org/10.1080/088395196118434"
"2003","Kyoung-jae Kim","Financial time series forecasting using support vector machines","KOSPI/stock index","SVM vs BP vs CBR","SVM presented as a promising financial forecasting alternative","Medium","https://doi.org/10.1016/S0925-2312(03)00372-2"
"2004","B. Qian; K. Rasheed","Hurst Exponent and Financial Market Predictability","financial series","Hurst classification; BP neural network","Higher-Hurst series predicted more accurately; Hurst as predictability measure","High for Hurst concept","https://m.actapress.com/Abstract.aspx?paperId=17650"
"2007","Cheoljun Eom; Sunghoon Choi; Gabjin Oh; Woo-Sung Jung","Hurst exponent and prediction based on weak-form efficient market hypothesis of stock markets","60 market indexes","Hurst; nearest-neighbor direction prediction","Positive relation between Hurst and directional hit-rate reported","High for Hurst conditioning","https://arxiv.org/abs/0712.1624"
"2018","Marcos López de Prado","Advances in Financial Machine Learning","quantitative finance","purging; embargo; CPCV; backtest-overfitting controls","Methodological framework for label overlap and leakage control","High for validation protocol","https://agorism.dev/book/finance/ml/Marcos_Lopez_de_Prado_-_Advances_in_Financial_Machine_Learning-Wiley_%282018%29.pdf"
"2019","Lukas Ryll; Sebastian Seidens","Evaluating the Performance of Machine Learning Algorithms in Financial Market Forecasting: A Comprehensive Survey","150+ financial studies","survey; rank analysis","RNNs reported stronger on average than feed-forward and SVM; major heterogeneity warning","High for literature methodology","https://arxiv.org/abs/1906.07786"
"2020","Weiwei Jiang","Applications of deep learning in stock market prediction: Recent progress","stock markets","DL survey: CNN/RNN/LSTM and reproducibility","Taxonomy of deep learning approaches and implementation/reproducibility concerns","Medium","https://arxiv.org/abs/2003.01859"
"2021","A Hybrid Learning Approach to Detecting Regime Switches in Financial Markets","US financial markets","clustering + classification","ML-based regime-switch detection framework","Supports regime-aware modeling; not Hurst-gated gold","Medium","https://arxiv.org/abs/2108.05801"
"2024","Mo Yang; Ruotong Wang; Zixun Zeng; Peizhi Li","Improved prediction of global gold prices: An innovative Hurst-reconfiguration-based machine learning approach","China, US and UK gold markets","Hurst reconfiguration; multifractal analysis; decomposition/ensemble; swarm optimization","Reports improved error and direction accuracy versus conventional models","Very High","https://doi.org/10.1016/j.resourpol.2023.104430"
"2025","HuguitoH","gold-forecast","XAU/USD","XGBoost; walk-forward; macro snapshot; dashboard","Open-source daily XAU/USD forecasting example; reported RMSE/R2 in repository description","Medium","https://github.com/HuguitoH/gold-forecast"
"2025","Forecasting Gold Price Direction","XAU/USD","technical indicators; RF; Gradient Boosting; XGBoost","Reports Bollinger Bands 57.53% and RF 59.47% accuracy in Zenodo record","Medium","https://zenodo.org/records/21208574"
"2026","Hybrid Recurrent Expert Gating","Google stock","RNN/LSTM/GRU; softmax MoE gate","Reports lower MAE/MSE/RMSE and higher R2 than GRU baseline","High for gating; low for gold/Hurst","https://doi.org/10.1016/j.procs.2026.06.366"
"2026","eslazarev","purged-cross-validation","time series and quantitative finance","purge; embargo; walk-forward; CPCV; PBO; PSR/DSR","Open-source implementation and leakage demonstrations","High for validation, not evidence of project reuse","https://github.com/eslazarev/purged-cross-validation"
"2026","leonardo0231","HGE-Hybrid Gold Forecasting Framework","XAUUSD/gold research pipeline","causal features; Hurst; locked test; purged walk-forward; model gate","The public repository corresponding to the project family; sample run is not market evidence","Exact project family","https://github.com/leonardo0231/hurst-gated-gold-forecasting"
